Topic, Languages, Maximum value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
Savoia-Marchetti S.56,de.it,0.3344968040028363,26,15,15.384615384615385,26.666666666666668,yes,no,no,no
Savoia-Marchetti S.56,de.fr,0.42008402520840293,26,7,19.230769230769234,71.42857142857143,yes,yes,no,no
Savoia-Marchetti S.56,de.en,0.3144854510165755,26,10,11.538461538461538,30.0,yes,yes,no,no
Savoia-Marchetti S.56,it.fr,0.22271770159368698,15,7,13.333333333333334,28.57142857142857,yes,no,no,no
Savoia-Marchetti S.56,it.en,0.1874085142663273,15,10,20.0,30.0,yes,yes,no,no
Savoia-Marchetti S.56,fr.en,0.9164397149578765,7,10,85.71428571428571,60.0,yes,yes,yes,yes
Lister Storm,de.it,0.680336051416609,55,10,3.6363636363636362,20.0,yes,no,no,no
Lister Storm,de.fr,1.0,55,42,60.0,76.19047619047619,yes,yes,yes,yes
Lister Storm,de.en,1.0,55,44,70.9090909090909,86.36363636363636,yes,yes,yes,yes
Lister Storm,it.fr,0.598764159346999,10,42,50.0,11.904761904761903,yes,yes,yes,yes
Lister Storm,it.en,0.6099942813304188,10,44,70.0,15.909090909090908,yes,yes,yes,yes
Lister Storm,fr.en,1.0,42,44,92.85714285714286,88.63636363636364,yes,yes,yes,yes
SIAI S.8,de.it,0.4166666666666667,10,8,50.0,62.5,yes,yes,yes,yes
SIAI S.8,de.fr,0.30588764516074896,10,5,20.0,40.0,yes,no,no,no
SIAI S.8,de.en,0.4601789933084222,10,5,20.0,40.0,yes,no,no,no
SIAI S.8,it.fr,0.26462806201248157,8,5,37.5,60.0,yes,yes,no,no
SIAI S.8,it.en,0.3003757045930553,8,5,25.0,40.0,yes,no,no,no
SIAI S.8,fr.en,0.857142857142857,5,5,100.0,100.0,yes,yes,yes,yes
SIAI S.19,de.it,0.0,7,6,0.0,0.0,no,no,no,no
SIAI S.19,de.fr,0.0,7,4,0.0,0.0,no,no,no,no
SIAI S.19,de.en,0.0,7,4,0.0,0.0,no,no,no,no
SIAI S.19,it.fr,0.2684377460965796,6,4,33.33333333333333,50.0,yes,no,no,no
SIAI S.19,it.en,0.0,6,4,0.0,0.0,no,no,no,no
SIAI S.19,fr.en,0.6405126152203486,4,4,100.0,100.0,yes,yes,yes,no
SIAI S.17,de.it,0.0,11,6,0.0,0.0,no,no,no,no
SIAI S.17,de.fr,0.0,11,4,0.0,0.0,no,no,no,no
SIAI S.17,de.en,0.0,11,3,0.0,0.0,no,no,no,no
SIAI S.17,it.fr,0.25584085962673253,6,4,33.33333333333333,50.0,yes,no,no,no
SIAI S.17,it.en,0.5477225575051661,6,3,50.0,100.0,yes,yes,no,no
SIAI S.17,fr.en,0.8164965809277259,4,3,75.0,100.0,yes,yes,no,no
SIAI S.16,de.it,0.0,16,28,0.0,0.0,no,no,no,no
SIAI S.16,de.fr,0.8749999999999998,16,6,18.75,50.0,yes,yes,no,no
SIAI S.16,de.en,0.0,16,6,0.0,0.0,no,no,no,no
SIAI S.16,it.fr,0.0,28,6,0.0,0.0,no,no,no,no
SIAI S.16,it.en,0.0,28,6,0.0,0.0,no,no,no,no
SIAI S.16,fr.en,1.0,6,6,83.33333333333334,83.33333333333334,yes,yes,yes,yes
Savoia-Marchetti S.65,de.it,0.0,26,3,0.0,0.0,no,no,no,no
Savoia-Marchetti S.65,de.fr,0.3233808333817773,26,7,7.6923076923076925,28.57142857142857,yes,no,no,no
Savoia-Marchetti S.65,de.en,0.26650089544451305,26,6,7.6923076923076925,33.33333333333333,yes,no,no,no
Savoia-Marchetti S.65,it.fr,0.0,3,7,0.0,0.0,no,no,no,no
Savoia-Marchetti S.65,it.en,0.0,3,6,0.0,0.0,no,no,no,no
Savoia-Marchetti S.65,fr.en,1.0,7,6,85.71428571428571,100.0,yes,yes,yes,yes
SIAI S.21,de.it,0.3418817293789138,12,15,16.666666666666664,13.333333333333334,yes,no,no,no
SIAI S.21,de.fr,0.2886751345948129,12,6,25.0,50.0,yes,yes,no,no
SIAI S.21,de.en,0.0,12,6,0.0,0.0,no,no,no,no
SIAI S.21,it.fr,0.0,15,6,0.0,0.0,no,no,no,no
SIAI S.21,it.en,0.0,15,6,0.0,0.0,no,no,no,no
SIAI S.21,fr.en,0.8006407690254358,6,6,83.33333333333334,83.33333333333334,yes,yes,yes,yes
Kawanishi E7K,de.it,0.4767312946227962,9,13,55.55555555555556,38.46153846153847,yes,yes,no,no
Kawanishi E7K,de.fr,0.4767312946227962,9,15,22.22222222222222,13.333333333333334,yes,no,no,no
Kawanishi E7K,de.en,0.4767312946227962,9,14,22.22222222222222,14.285714285714285,yes,no,no,no
Kawanishi E7K,it.fr,0.7171371656006361,13,15,69.23076923076923,60.0,yes,yes,yes,yes
Kawanishi E7K,it.en,0.6708203932499369,13,14,69.23076923076923,64.28571428571429,yes,yes,yes,yes
Kawanishi E7K,fr.en,1.0,15,14,93.33333333333333,100.0,yes,yes,yes,yes
SIAI S.51,de.it,0.25712973861328997,16,9,18.75,33.33333333333333,yes,yes,no,no
SIAI S.51,de.fr,0.3651483716701107,16,17,12.5,11.76470588235294,yes,no,no,no
