Topic, Languages, Maximum value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
Savoia-Marchetti S.56,de.it,0.13636363636363635,26,15,15.384615384615385,26.666666666666668,yes,yes,yes,no
Savoia-Marchetti S.56,de.fr,0.15555555555555556,26,7,11.538461538461538,42.857142857142854,yes,yes,no,no
Savoia-Marchetti S.56,de.en,0.15384615384615385,26,10,7.6923076923076925,20.0,yes,no,no,no
Savoia-Marchetti S.56,it.fr,0.125,15,7,13.333333333333334,28.57142857142857,yes,no,no,no
Savoia-Marchetti S.56,it.en,0.11627906976744186,15,10,13.333333333333334,20.0,yes,no,no,no
Savoia-Marchetti S.56,fr.en,0.8076923076923077,7,10,85.71428571428571,60.0,yes,yes,yes,yes
Lister Storm,de.it,0.5151515151515151,55,10,3.6363636363636362,20.0,yes,no,no,no
Lister Storm,de.fr,1.0,55,42,61.81818181818181,78.57142857142857,yes,yes,yes,yes
Lister Storm,de.en,1.0,55,44,70.9090909090909,86.36363636363636,yes,yes,yes,yes
Lister Storm,it.fr,0.45,10,42,50.0,11.904761904761903,yes,yes,yes,yes
Lister Storm,it.en,0.46153846153846156,10,44,50.0,11.363636363636363,yes,yes,no,no
Lister Storm,fr.en,1.0,42,44,95.23809523809523,90.9090909090909,yes,yes,yes,yes
SIAI S.8,de.it,0.23809523809523808,10,8,60.0,75.0,yes,yes,yes,yes
SIAI S.8,de.fr,0.19047619047619047,10,5,20.0,40.0,yes,no,no,no
SIAI S.8,de.en,0.2631578947368421,10,5,20.0,40.0,yes,no,no,no
SIAI S.8,it.fr,0.16666666666666666,8,5,37.5,60.0,yes,yes,no,no
SIAI S.8,it.en,0.1724137931034483,8,5,25.0,40.0,yes,no,no,no
SIAI S.8,fr.en,0.75,5,5,100.0,100.0,yes,yes,yes,yes
SIAI S.19,de.it,0.0,7,6,0.0,0.0,no,no,no,no
SIAI S.19,de.fr,0.0,7,4,0.0,0.0,no,no,no,no
SIAI S.19,de.en,0.0,7,4,0.0,0.0,no,no,no,no
SIAI S.19,it.fr,0.0,6,4,0.0,0.0,no,no,no,no
