de.it,1,2,3,4,5,6,7,8,9,10
1,0.19611613513818402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14824986333222026,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19245008972987526
3,0.17677669529663687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13608276348795434
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.19611613513818402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.16666666666666666,0.0,0.045360921162651446,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.18257418583505536,0.0,0.07453559924999299,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.11785113019775793,0.0,0.09622504486493764,0.1543033499620919,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.14433756729740646,0.16666666666666666,0.13363062095621217,0.0,0.0,0.0,0.0,0.0
12,0.0,0.12909944487358055,0.0,0.21081851067789195,0.16903085094570328,0.0,0.0,0.0,0.0,0.0
13,0.0,0.08006407690254358,0.0,0.1307440900921227,0.10482848367219183,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.1889822365046136,0.0,0.0,0.0,0.0,0.0
16,0.18257418583505533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06900655593423542,0.0
17,0.06681531047810609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.049029033784546004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.07372097807744857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
