it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0.3227486121839514,0.0,0.0,0.35355339059327373,0.12499999999999997,0.0,0.1178511301977579,0.0,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.0,0.06565321642986127,0.21081851067789192,0.0,0.20412414523193148,0.0,0.1178511301977579,0.0,0.1178511301977579,0.14433756729740646,0.0,0.12499999999999997,0.0,0.09805806756909201,0.0,0.14433756729740646
2,0.10540925533894598,0.12909944487358055,0.0,0.0,0.30618621784789724,0.17407765595569785,0.19245008972987526,0.0,0.08006407690254358,0.0,0.14907119849998599,0.07715167498104597,0.0,0.0,0.0,0.0,0.08606629658238704,0.0,0.0,0.0,0.0,0.07216878364870323,0.0,0.0,0.12909944487358055,0.0,0.0,0.08006407690254358,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12309149097933275,0.0,0.1091089451179962,0.0,0.0,0.0,0.07580980435789035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.08333333333333333,0.07106690545187015,0.0,0.0,0.19611613513818407,0.07106690545187015,0.18257418583505539,0.25197631533948484,0.0890870806374748,0.0,0.0,0.04376881095324086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11396057645963795,0.0,0.10101525445522107,0.2857142857142857,0.0,0.0,0.07018624063435965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22742941307367104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08304547985373997,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.19518001458970666,0.0,0.1336306209562122,0.0668153104781061,0.0,0.0,0.0890870806374748,0.0,0.0,0.08058229640253803,0.0,0.0,0.0,0.0,0.0,0.0,0.15936381457791915,0.0,0.07715167498104597,0.0,0.0,0.0668153104781061,0.0,0.0,0.0,0.0,0.0,0.07412493166611013,0.0,0.1091089451179962
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
