de.it,1,2,3,4,5,6,7
1,0.0,0.0,0.0,0.08703882797784891,0.0,0.0,0.0
2,0.19611613513818402,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.09622504486493763,0.16169041669088866,0.0,0.0,0.0,0.0
6,0.0,0.07453559924999299,0.12524485821702988,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.2721655269759087,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.16222142113076252,0.0,0.0,0.22941573387056174,0.0,0.0,0.0
11,0.0,0.0,0.09901475429766744,0.0,0.0,0.0,0.0
12,0.0,0.09622504486493763,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.08084520834544433,0.0,0.0,0.13608276348795434,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.058823529411764705,0.24253562503633297,0.0,0.0,0.0
18,0.0,0.0,0.0,0.11785113019775793,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.13363062095621217,0.0,0.0,0.1889822365046136,0.0,0.0,0.0
24,0.0,0.0,0.07669649888473704,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.09901475429766744,0.0,0.0,0.0,0.0
27,0.0,0.0,0.10846522890932808,0.0,0.0,0.0,0.0
28,0.0,0.0,0.04667600280093366,0.09622504486493763,0.0,0.0,0.0
