de.fr,1,2,3,4,5
1,0.08703882797784893,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.13483997249264842,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.09829463743659811
6,0.0,0.0,0.0,0.3779644730092272,0.0
7,0.07312724241271307,0.0,0.0,0.06063390625908324,0.0
8,0.0,0.0,0.0,0.0,0.07881104062391006
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.1336306209562122,0.0
11,0.0,0.0,0.0,0.0,0.09325048082403138
12,0.0,0.0,0.0,0.0,0.07372097807744857
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
