de.fr,1,2,3,4,5
1,0.05263157894736842,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.06666666666666667,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.05128205128205128
6,0.0,0.0,0.0,0.0625,0.0
7,0.041666666666666664,0.0,0.0,0.038461538461538464,0.0
8,0.0,0.0,0.0,0.0,0.034482758620689655
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.043478260869565216,0.0
11,0.0,0.0,0.0,0.0,0.037037037037037035
12,0.0,0.0,0.0,0.0,0.03333333333333333
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
