de.it,1,2,3,4,5,6,7,8,9,10,11
1,0.18257418583505536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.11180339887498948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.14142135623730948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18257418583505536
4,0.14142135623730948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.07453559924999299,0.23570226039551584,0.08333333333333333,0.0890870806374748,0.0,0.0,0.0,0.0,0.0,0.0,0.09622504486493764
6,0.0,0.1259881576697424,0.26726124191242434,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0
7,0.07669649888473704,0.16169041669088866,0.17149858514250882,0.0,0.10846522890932808,0.08574929257125441,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0944911182523068,0.0,0.11952286093343936,0.0944911182523068,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.16903085094570328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.26726124191242434,0.0,0.12499999999999997,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.12909944487358058,0.0,0.0,0.0,0.0,0.14433756729740646,0.20412414523193154,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0
