de.it,1,2,3,4,5,6,7,8
1,0.11322770341445959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.10660035817780521,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.2886751345948129,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.14433756729740646,0.17677669529663687,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.4364357804719848,0.2182178902359924,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.0
13,0.0,0.16666666666666669,0.33333333333333337,0.10206207261596574,0.0,0.0,0.0,0.0
14,0.0,0.0,0.1091089451179962,0.13363062095621217,0.0,0.0,0.0,0.2182178902359924
15,0.0,0.0,0.0,0.2357022603955158,0.0,0.0,0.0,0.0
16,0.0,0.0,0.1091089451179962,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.16666666666666669,0.0,0.8164965809277259,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.10050378152592121,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.09622504486493763,0.1178511301977579,0.2357022603955158,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.26726124191242434,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.13483997249264842,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.11785113019775793,0.14433756729740646,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47140452079103173
