fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.0,0.16012815380508716,0.1307440900921227,0.1386750490563073,0.07412493166611012,0.15724272550828775,0.0,0.0,0.0,0.0,0.09805806756909202,0.0,0.06933752452815364,0.09245003270420486,0.0,0.179968508266339,0.0,0.0,0.0,0.0,0.1386750490563073
2,0.0,0.0,0.0,0.0,0.1543033499620919,0.0,0.0,0.0,0.0,0.11785113019775793,0.0,0.0,0.14433756729740646,0.09622504486493764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.14433756729740646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596574,0.0,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
4,0.0,0.0,0.08333333333333333,0.0,0.0,0.0668153104781061,0.0944911182523068,0.0,0.22360679774997896,0.07216878364870323,0.0,0.0,0.0,0.05892556509887897,0.08838834764831843,0.11470786693528087,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.08084520834544433,0.0,0.0,0.06482037235521644,0.18333969940564224,0.0,0.21693045781865616,0.0,0.0,0.0,0.0,0.1143323900950059,0.0,0.11128297681493142,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.13608276348795434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14433756729740646,0.09622504486493764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.13608276348795434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14433756729740646,0.09622504486493764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.07332355751067665,0.05986843400892496,0.0,0.0,0.1920061442949277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08466675133346034,0.25400025400038095,0.41204282171516454,0.26940795304016235,0.7184212081070995,0.26940795304016235,0.14944064441601537,0.0
11,0.0,0.13801311186847084,0.0,0.0,0.06388765649999399,0.045175395145262566,0.0,0.08451542547285165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23904572186687875
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07905694150420949,0.0,0.0,0.0,0.11180339887498948,0.0,0.31622776601683794
