fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.0,0.06666666666666667,0.06060606060606061,0.037037037037037035,0.03125,0.08108108108108109,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.03333333333333333,0.047619047619047616,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.05555555555555555
2,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.1,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.17647058823529413
4,0.0,0.0,0.05555555555555555,0.0,0.0,0.043478260869565216,0.0625,0.0,0.07142857142857142,0.047619047619047616,0.0,0.0,0.0,0.037037037037037035,0.058823529411764705,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.045454545454545456,0.0,0.0,0.037037037037037035,0.10526315789473684,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.03571428571428571,0.03225806451612903,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.14814814814814814,0.2857142857142857,0.125,0.34782608695652173,0.038461538461538464,0.09090909090909091,0.0
11,0.0,0.038461538461538464,0.0,0.0,0.037037037037037035,0.029411764705882353,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.058823529411764705,0.0,0.18181818181818182
