fr.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.28915746598312025,0.0,0.0,0.10114434748483474,0.09567297464698797,0.0,0.0,0.08285522649991613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.08770580193070296,0.0,0.0,0.6135719910778963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11952286093343936,0.07071067811865474
3,0.0,0.0,0.0,0.0,0.8292884288627292,0.0975900072948533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.08111071056538126,0.9354143466934852,0.31249999999999994,0.09365858115816939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07905694150420949
5,0.0,0.0,0.07453559924999299,0.0,0.0,0.2760262237369417,0.8068715304598785,0.0967301666813349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816496580927726
6,0.18238430103502137,0.0,0.0,0.0,0.1508628572809428,0.062136976600120006,0.14530954842977414,0.8056815791722831,0.03287979746107146,0.0,0.0,0.0,0.0,0.0,0.031068488300060003,0.036760731104690386
7,0.6618919560913714,0.08838834764831843,0.0,0.042874646285627205,0.04055535528269063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.36380343755449945,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09166984970282112,0.05423261445466404
9,0.0,0.0,1.0,0.0,0.0,0.0,0.07216878364870323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07715167498104596,0.0
10,0.0,0.0944911182523068,0.0,0.27500954910846337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.08451542547285164
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5334005334008001,0.06350006350009525,0.08980265101338744,0.5430753866417045,0.11487593716012254,0.05679618342470648,0.04800153607373193,0.05679618342470648
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24120907566221092,0.0,0.0,0.24174688920761409,0.6363636363636364,0.13483997249264842,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.4472135954999579,0.0,0.11180339887498948
14,0.0,0.0,0.0,0.15339299776947407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4183300132670378,0.07071067811865474
