it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.0,0.0,0.0,0.0,0.07407407407407407,0.09523809523809523,0.19230769230769232,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.2,0.17647058823529413,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
4,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.09523809523809523,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
5,0.2857142857142857,0.03225806451612903,0.0,0.0,0.07407407407407407,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.06,0.2916666666666667,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.06666666666666667
7,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.05
9,0.016129032258064516,0.05128205128205128,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.29411764705882354,0.03571428571428571,0.038461538461538464,0.02631578947368421,0.09090909090909091,0.07142857142857142,0.06,0.07692307692307693
10,0.0,0.041666666666666664,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.2727272727272727,0.027777777777777776,0.13043478260869565
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0196078431372549,0.07142857142857142,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.041666666666666664,0.0,0.16666666666666666,0.0
13,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.03571428571428571
