de.en,1,2,3,4,5,6,7,8
1,0.0,0.0,0.41602514716892186,0.0,0.0,0.0,0.07692307692307693,0.06726727939963126
2,0.0,0.0,0.1889822365046136,0.0,0.0,0.0,0.10482848367219183,0.0
3,0.0,0.0,0.0,0.21938172723813917,0.13483997249264842,0.07537783614444091,0.0,0.0
4,0.0,0.0,0.25,0.0,0.0,0.0,0.1386750490563073,0.0
5,0.0,0.0,0.0,0.09166984970282112,0.33806170189140655,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.35856858280031806,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09166984970282112
8,0.24174688920761409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.17149858514250882,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.06063390625908324,0.0,0.0
14,0.05913123959890826,0.11322770341445959,0.0,0.06726727939963126,0.0,0.1386750490563073,0.0,0.0
15,0.0,0.0,0.22360679774997896,0.0,0.0,0.0,0.12403473458920847,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.09245003270420486,0.08084520834544433
18,0.0,0.0,0.0,0.0,0.0,0.14433756729740646,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140028008402801
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.04891159880445184,0.0936585811581694,0.22941573387056174,0.05564148840746571,0.1025978352085154,0.057353933467640436,0.06362847629757777,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.08058229640253803,0.0,0.0,0.0,0.0,0.0944911182523068,0.10482848367219183,0.0
28,0.10660035817780521,0.20412414523193154,0.0,0.12126781251816648,0.0,0.25,0.0,0.0
29,0.2022599587389726,0.12909944487358058,0.0,0.15339299776947407,0.0,0.15811388300841897,0.17541160386140586,0.0
30,0.08058229640253803,0.3086066999241838,0.1889822365046136,0.09166984970282112,0.0,0.0944911182523068,0.20965696734438366,0.0
31,0.10660035817780521,0.0,0.0,0.12126781251816648,0.0,0.0,0.2773500981126146,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.07669649888473704,0.0,0.07905694150420949,0.08770580193070293,0.0
34,0.0,0.0,0.0,0.05057217374241737,0.0,0.0,0.0,0.05057217374241737
35,0.08058229640253803,0.0,0.0,0.0,0.0,0.0944911182523068,0.10482848367219183,0.0
