it.en,1,2,3,4,5,6,7,8,9,10,11,12
1,0.0,0.0,0.0,0.058823529411764705,0.06666666666666667,0.08,0.047619047619047616,0.0,0.038461538461538464,0.0,0.0,0.0
2,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.02857142857142857,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.08695652173913043,0.20833333333333334,0.08,0.02702702702702703,0.0,0.03571428571428571,0.0,0.025,0.0,0.0,0.025,0.0
7,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.023809523809523808,0.0,0.15384615384615385,0.01818181818181818,0.0,0.021739130434782608,0.024390243902439025,0.07272727272727272,0.09302325581395349,0.0425531914893617,0.05357142857142857,0.0
9,0.0625,0.0,0.0,0.034482758620689655,0.0,0.10526315789473684,0.0,0.1,0.05,0.0,0.03125,0.0
10,0.13636363636363635,0.0,0.038461538461538464,0.05555555555555555,0.0,0.03571428571428571,0.0,0.025,0.0,0.0,0.20588235294117646,0.047619047619047616
11,0.11764705882352941,0.0,0.05,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
