de.en,1,2,3,4,5,6,7
1,0.0,0.05,0.04,0.0,0.03333333333333333,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.02631578947368421,0.03333333333333333,0.023255813953488372,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.045454545454545456
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
10,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
11,0.0,0.05263157894736842,0.0,0.0,0.0,0.125,0.0
12,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.08333333333333333
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
