de.it,1,2,3,4,5,6,7,8,9,10,11
1,0.08451542547285165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.21764287503300347,0.13245323570650439,0.3077935056255462,0.0,0.13245323570650439,0.0,0.12262786789699315,0.0,0.0,0.06622661785325219,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.4216370213557839,0.3651483716701107,0.0,0.0,0.0,0.0,0.0,0.14142135623730948
9,0.0,0.0,0.0,0.0,0.0,0.15075567228888181,0.0,0.0,0.0,0.0,0.13483997249264842
10,0.0,0.0,0.0,0.0,0.20412414523193148,0.0,0.2834733547569204,0.0,0.0,0.10206207261596574,0.0
11,0.0,0.0,0.0,0.0,0.18257418583505536,0.0,0.1690308509457033,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.12309149097933272,0.10660035817780521,0.05698028822981897,0.09534625892455921,0.16116459280507606,0.1846372364689991,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
