de.it,1,2,3,4,5,6,7,8,9,10,11
1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.11538461538461539,0.047619047619047616,0.14285714285714285,0.0,0.047619047619047616,0.0,0.034482758620689655,0.0,0.0,0.03333333333333333,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.26666666666666666,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
9,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.06666666666666667
10,0.0,0.0,0.0,0.0,0.1,0.0,0.11764705882352941,0.0,0.0,0.05263157894736842,0.0
11,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.10526315789473684,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.041666666666666664,0.04,0.03125,0.038461538461538464,0.07407407407407407,0.0967741935483871,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
