de.fr,1,2,3,4,5,6,7,8
1,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.18257418583505536,0.31622776601683794,0.0,0.0,0.0,0.0,0.0
3,0.0,0.12309149097933275,0.0,0.0,0.0,0.0,0.0,0.08362420100070908
4,0.0,0.21081851067789195,0.18257418583505533,0.10540925533894598,0.0,0.0,0.0,0.0716114874039433
5,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.12309149097933275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.30151134457776363,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0
9,0.10050378152592121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
