de.fr,1,2,3,4,5,6,7,8
1,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
4,0.0,0.125,0.07692307692307693,0.058823529411764705,0.0,0.0,0.0,0.041666666666666664
5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.15384615384615385,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
9,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
