de.it,1,2,3,4,5,6,7
1,0.0,0.0,0.0,0.36927447293799825,0.0,0.08362420100070908,0.0
2,0.13483997249264842,0.0,0.19999999999999996,0.0,0.0,0.0,0.0
3,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0778498944161523,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.11396057645963795,0.13483997249264842,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.1259881576697424,0.0,0.0,0.3333333333333333,0.09245003270420486,0.0
10,0.0,0.0,0.0,0.0,0.0,0.37062465833055064,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.19069251784911848
12,0.0,0.0,0.0,0.0,0.0,0.1386750490563073,0.07537783614444091
13,0.08362420100070908,0.0,0.0,0.0,0.0,0.15384615384615385,0.0
