Topic, Languages, Maximum value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
Cytinus hypocistis,de.it,0.5773502691896258,16,11,37.5,54.54545454545454,yes,yes,yes,no
Cytinus hypocistis,de.fr,0.3779644730092272,16,5,12.5,40.0,yes,no,no,no
Cytinus hypocistis,de.en,0.0,16,5,0.0,0.0,no,no,no,no
Cytinus hypocistis,it.fr,0.35355339059327373,11,5,18.181818181818183,40.0,yes,no,no,no
Cytinus hypocistis,it.en,0.0,11,5,0.0,0.0,no,no,no,no
Cytinus hypocistis,fr.en,0.502518907629606,5,5,40.0,40.0,yes,no,no,no
Pinus jeffreyi,de.it,0.0,110,6,0.0,0.0,no,no,no,no
Pinus jeffreyi,de.fr,0.5222329678670935,110,5,1.8181818181818181,40.0,yes,no,no,no
Pinus jeffreyi,de.en,0.0,110,19,0.0,0.0,no,no,no,no
Pinus jeffreyi,it.fr,0.563436169819011,6,5,33.33333333333333,40.0,yes,no,no,no
Pinus jeffreyi,it.en,0.7092081432669752,6,19,33.33333333333333,10.526315789473683,yes,no,no,no
Pinus jeffreyi,fr.en,0.6454972243679028,5,19,60.0,15.789473684210526,yes,yes,no,no
Verbascum nigrum,de.it,0.37062465833055064,13,7,46.15384615384615,85.71428571428571,yes,yes,no,no
Verbascum nigrum,de.fr,0.31622776601683794,13,8,15.384615384615385,25.0,yes,no,no,no
Verbascum nigrum,de.en,0.2182178902359924,13,2,15.384615384615385,100.0,yes,no,no,no
Verbascum nigrum,it.fr,0.0,7,8,0.0,0.0,no,no,no,no
Verbascum nigrum,it.en,0.0,7,2,0.0,0.0,no,no,no,no
Verbascum nigrum,fr.en,0.0,8,2,0.0,0.0,no,no,no,no
Pinus koraiensis,de.it,0.2672612419124244,87,12,2.2988505747126435,16.666666666666664,yes,no,no,no
Pinus koraiensis,de.fr,0.0,87,3,0.0,0.0,no,no,no,no
Pinus koraiensis,de.en,0.33541019662496846,87,12,2.2988505747126435,16.666666666666664,yes,no,no,no
Pinus koraiensis,it.fr,0.0,12,3,0.0,0.0,no,no,no,no
Pinus koraiensis,it.en,0.5000000000000001,12,12,41.66666666666667,41.66666666666667,yes,yes,no,no
Pinus koraiensis,fr.en,0.0,3,12,0.0,0.0,no,no,no,no
Nigella damascena,de.it,0.8164965809277259,78,8,5.128205128205128,50.0,yes,yes,yes,no
Nigella damascena,de.fr,0.0,78,12,0.0,0.0,no,no,no,no
Nigella damascena,de.en,0.5163977794943222,78,21,5.128205128205128,19.047619047619047,yes,no,no,no
Nigella damascena,it.fr,0.35355339059327373,8,12,25.0,16.666666666666664,yes,no,no,no
Nigella damascena,it.en,0.19245008972987526,8,21,25.0,9.523809523809524,yes,no,no,no
Nigella damascena,fr.en,0.0,12,21,0.0,0.0,no,no,no,no
Acanthus mollis,de.it,0.0,22,10,0.0,0.0,no,no,no,no
Acanthus mollis,de.fr,0.5570066518960167,22,30,18.181818181818183,13.333333333333334,yes,no,no,no
Acanthus mollis,de.en,0.33333333333333337,22,23,18.181818181818183,17.391304347826086,yes,yes,yes,no
Acanthus mollis,it.fr,0.35355339059327373,10,30,50.0,16.666666666666664,yes,yes,no,no
Acanthus mollis,it.en,0.49009802940980346,10,23,60.0,26.08695652173913,yes,yes,no,no
Acanthus mollis,fr.en,0.8593378488473195,30,23,26.666666666666668,34.78260869565217,yes,yes,yes,no
Spergularia media,de.it,0.4216370213557839,13,11,30.76923076923077,36.36363636363637,yes,yes,yes,no
Spergularia media,de.en,0.22360679774997896,13,7,15.384615384615385,28.57142857142857,yes,no,no,no
Spergularia media,it.en,0.35355339059327373,11,7,18.181818181818183,28.57142857142857,yes,no,no,no
Pinus densiflora,de.fr,0.44474958999666075,35,7,5.714285714285714,28.57142857142857,yes,no,no,no
Pinus densiflora,de.en,0.41602514716892186,35,8,5.714285714285714,25.0,yes,no,no,no
Pinus densiflora,fr.en,0.4008918628686366,7,8,28.57142857142857,25.0,yes,no,no,no
Pinus ayacahuite,de.it,0.5051814855409226,11,13,36.36363636363637,30.76923076923077,yes,yes,yes,no
Pinus ayacahuite,de.fr,0.0,11,14,0.0,0.0,no,no,no,no
Pinus ayacahuite,de.en,0.0,11,16,0.0,0.0,no,no,no,no
Pinus ayacahuite,it.fr,0.45601459270045336,13,14,46.15384615384615,42.857142857142854,yes,yes,yes,yes
Pinus ayacahuite,it.en,0.5200314339611525,13,16,30.76923076923077,25.0,yes,no,no,no
Pinus ayacahuite,fr.en,1.0,14,16,85.71428571428571,75.0,yes,yes,yes,yes
Consolida regalis,de.it,0.0,28,7,0.0,0.0,no,no,no,no
Consolida regalis,de.fr,0.40824829046386296,28,15,10.714285714285714,20.0,yes,yes,no,no
Consolida regalis,de.en,0.5368754921931592,28,19,25.0,36.84210526315789,yes,yes,yes,no
Consolida regalis,it.fr,0.3872983346207417,7,15,57.14285714285714,26.666666666666668,yes,no,no,no
Consolida regalis,it.en,0.5773502691896258,7,19,71.42857142857143,26.31578947368421,yes,yes,no,no
Consolida regalis,fr.en,0.6123724356957945,15,19,46.666666666666664,36.84210526315789,yes,yes,no,no
